2022-09-22 16:15:32,113 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905163027_0002_Z.JPG
2022-09-22 16:15:40,201 - maincontroller.py - line:68 - INFO| DJI_20220905163027_0002_Z.JPG下载成功
2022-09-22 16:15:40,209 - sql_operations.py - line:21 - INFO| 开始向航线表插入数据
2022-09-22 16:15:40,231 - sql_operations.py - line:29 - INFO| 航线表数据插入成功
2022-09-22 16:15:40,240 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 16:15:40,331 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 16:15:40,346 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:24:50,490 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905160558_0002_Z.JPG
2022-09-22 16:24:58,831 - maincontroller.py - line:68 - INFO| DJI_20220905160558_0002_Z.JPG下载成功
2022-09-22 16:24:58,839 - sql_operations.py - line:21 - INFO| 开始向航线表插入数据
2022-09-22 16:24:58,856 - sql_operations.py - line:29 - INFO| 航线表数据插入成功
2022-09-22 16:24:58,866 - sql_operations.py - line:42 - INFO| 开始向任务数据表插入数据
2022-09-22 16:24:58,873 - sql_operations.py - line:51 - INFO| 任务数据插入成功
2022-09-22 16:24:58,888 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:25:00,666 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905160637_0003_Z.JPG
2022-09-22 16:25:04,307 - maincontroller.py - line:68 - INFO| DJI_20220905160637_0003_Z.JPG下载成功
2022-09-22 16:25:04,313 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 16:25:04,318 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 16:25:04,337 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:25:06,583 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905160704_0004_Z.JPG
2022-09-22 16:25:12,022 - maincontroller.py - line:68 - INFO| DJI_20220905160704_0004_Z.JPG下载成功
2022-09-22 16:25:12,028 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 16:25:12,034 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 16:25:12,057 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:25:14,771 - maincontroller.py - line:66 - INFO| 开始下载文件: DJI_20220905160808_0005_Z.JPG
2022-09-22 16:25:21,847 - maincontroller.py - line:68 - INFO| DJI_20220905160808_0005_Z.JPG下载成功
2022-09-22 16:25:21,852 - sql_operations.py - line:31 - INFO| 航线数据已存在
2022-09-22 16:25:21,858 - sql_operations.py - line:53 - INFO| 任务数据已存在
2022-09-22 16:25:21,886 - maincontroller.py - line:76 - INFO| 开始执行自动对比功能
2022-09-22 16:31:21,490 - maincontroller.py - line:365 - INFO| [+] AGX API is running [2022-09-22 16:31:21.490707]
